ipa,syl,son,cons,cont,delrel,lat,nas,stri,den,voi,sg,cg,ant,dist,lab,hi,low,fro,ba,rou,reduc,ten,impl,cli,linglab,lon,tonhi,tonce,tonmi,tonris,tonfal,tonconv,stre,strepri
t̪ʷ,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̪ʷ,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d̪ʷ,-,-,+,-,-,-,-,-,+,+,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̺̪ʷː,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪ʷː,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t̪̪ʷː,-,-,+,-,-,-,-,-,+,-,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
d̪ʷː,-,-,+,-,-,-,-,-,+,+,-,-,0,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʈ,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈ̟,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈ̠,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖ,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖ̟,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖ̠,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈː,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɖː,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ʈ̻,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ɖ̻,-,-,+,-,-,-,-,-,-,+,-,-,-,+,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
ʈ̻ː,-,-,+,-,-,-,-,-,-,-,-,-,-,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
ɖ̻ː,-,-,+,-,-,-,-,-,-,+,-,-,-,+,-,0,0,0,0,0,0,0,-,-,0,+,0,0,0,0,0,0,0,0
t,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̟,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̠,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
t̪̺,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
d,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,0,0,0,0,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0
